id	title	description	link	image_link	additional_image_link	availability	price	sale_price	cost_of_goods_sold	brand	gtin	mpn	identifier_exists	product_type	product_weight	shipping_weight	google_product_category	custom_label_0	custom_label_1	custom_label_2	custom_label_3	custom_label_4	condition	adult	age_group	gender	color	material	pattern	size	certification	item_group_id	unit_pricing_measure
BE-TP-000001-SM	Ava  bézs póló	Női bézs póló casual stílusban, ideális mindennapi viseletre. Nagyon kényelmes.	https://www.horandrashop.hu/ava-bezs-polo-616?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_123033.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_145557.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_123031.webp	in_stock	5990 HUF		3556 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Felsők, kardigánok	Sandy Bloom			New	No			Bézs			S/M		BE-TP-000001-SM	
BLA-OV-000003-OSI	Raven overál	Stílusos és kényelmes overál, amely ideális minden programhoz.  Szuper választás egész napra. Az overálok nagy előnye, hogy nem kell gondolkoznod, milyen felső és alsó részt vegyél fel, csak belebújsz és kész is! Nekem ez szerelemdarab lett első látásra.	https://www.horandrashop.hu/raven-overal-625?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170943.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_171533.webp	in_stock	11990 HUF	11270 HUF	7239 HUF				No	Ruházat > Overálok, szettek				Kollekciók	Overálok, szettek	Midnight Touch			New	No			Fekete			One size		BLA-OV-000003-OSI	
BLA-DR-000004-OSI	Selina ruha	A casual tréningruha egyszerre stílusos és kényelmes. Ez az a ruha, amit csak felkapsz, ha nem tudod, mit vegyél fel, vagy csak gyorsan el kell intézni valamit. Laza szabású, könnyű benne mozogni, sportos, mégis az arany betétek miatt nagyon csinos is. Egyméretes, M-XL-es méretre ajánlom	https://www.horandrashop.hu/selina-ruha-628?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_160642.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_160529.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_143646.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_143712.webp	in_stock	9990 HUF		7239 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Midnight Touch			New	No			Fekete			One size		BLA-DR-000004-OSI	
BLA-ST-000005-OSI	Onyx fekete szett	Az Onyx szett egy nagyon csinos és kifinomult összeállítás, mely egy ujjatlan felsőből és egy nadrágból áll. A felsőn nagyon szép gombok vannak, amik különlegessé teszik a megjelenést. 	https://www.horandrashop.hu/onyx-fekete-szett-631?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_120630.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_121324.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_120650.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_120630A.webp	in_stock	13990 HUF		9525 HUF				No	Ruházat > Overálok, szettek				Kollekciók	Overálok, szettek	Midnight Touch			New	No			Fekete			One size		BLA-ST-000005-OSI	
BLA-DR-000006-S	Leona alkalmi ruha	Ez a ruha egy csoda. A fekete egyszerű szabást nagyszerűen kiemelik a különleges mintájú buggyos ujjak. 	https://www.horandrashop.hu/leona-alkalmi-ruha-634?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_114846.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_115138.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_114911.webp	in_stock	15990 HUF		9271 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Midnight Touch	Urban Jungle		New	No			Fekete			S		BLA-DR-000006-S	
LEO-ST-000007-OSI	Cleo szett	Lendületes és vagány megjelenés egyetlen szettben! Ez az együttes egy merész leopárd mintás rövid nadrágból és egy klasszikus, letisztult fekete pólóból áll, melynek szegélyeit szintén leopárd minta díszíti! Nagyon kényelmes, könnyű anyag! S-L-es méretig ajánlom!	https://www.horandrashop.hu/cleo-szett-637?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_112731.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_112603.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_151314.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/00053t.jpg	in_stock	10990 HUF		6350 HUF				No	Ruházat > Overálok, szettek				Kollekciók	Overálok, szettek	Urban Jungle			New	No			Leopárd			One size		LEO-ST-000007-OSI	
BLU-DR-000008-OSI	Sail kék ruha	Ujjatlan , csíkos nyári ruha dekoratív fodrokkal és kerek nyakkivágással. Nagyon kényelmes és jár hozzá egy ajándék öv is, ami nagyon feldobja a megjelenést. Választhatsz hozzá fehér, fekete, kék, bézs kiegészítőket is!	https://www.horandrashop.hu/sail-kek-ruha-640?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_162458.webp		in_stock	9990 HUF		4445 HUF				No	Ruházat > Ruhák				Kollekciók	Blue Moon	Ruhák			New	No			Kék			One size		BLU-DR-000008-OSI	
PIN-DR-000009-OSI	Sail rózsaszín ruha	Ujjatlan nyári , csíkos ruha dekoratív fodrokkal és kerek nyakkivágással. Nagyon kényelmes, igazi alapdarab! Az övet ajándékba kapod hozzá!	https://www.horandrashop.hu/sail-rozsaszin-ruha-643?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_162106.webp		in_stock	9990 HUF		4445 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Sweet Rose			New	No			Rózsaszín			One size		PIN-DR-000009-OSI	
BLU-DR-0000010-OSI	Marina ruha	Engedd, hogy a természet szépsége magával ragadjon ebben a lenyűgöző, kék alapon virágos és levelekkel díszített hosszú ruhában! Középtájon elöl húzott az anyag, így kitűnően formálja az alakot.  	https://www.horandrashop.hu/marina-ruha-646?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_120033.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_115736.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/20250601_115724.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_144211.webp	in_stock	9990 HUF		5334 HUF				No	Ruházat > Ruhák				Kollekciók	Blue Moon	Ruhák			New	No			Kék			One size		BLU-DR-0000010-OSI	
BLU-SK-0000011-OSI	Aura hosszú szoknya	Ez a világoskék hosszú szoknya könnyed, légies anyagból készült, amely bájos virágmintával van díszítve, így tökéletes választás a tavaszi és nyári napokra.	https://www.horandrashop.hu/aura-hosszu-szoknya-649?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_152628.webp		in_stock	8990 HUF		4826 HUF				No	Ruházat > Szoknyák				Kollekciók	Blue Moon	Szoknyák			New	No			Kék			One size		BLU-SK-0000011-OSI	
BLU-PT-0000012-OSI	Isla kék culotte nadrág	A kiváló szabású szoknyanadrágok stílusos és kényelmes megoldást jelentenek számos alkalomra. 	https://www.horandrashop.hu/isla-kek-culotte-nadrag-652?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_153610.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_1554141.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_154053.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_154833.webp	in_stock	9990 HUF		5588 HUF				No	Ruházat > Nadrágok				Kollekciók	Blue Moon	Nadrágok			New	No			Kék			One size		BLU-PT-0000012-OSI	
PIN-PT-0000013-OSI	Isla rózsaszín culotte nadrág	Ez az elegáns szoknyanadrág kiváló kísérőnk lehet minden alkalomra! 	https://www.horandrashop.hu/isla-rozsaszin-culotte-nadrag-655?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_121819.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_155304.webp	in_stock	9990 HUF		5588 HUF				No	Ruházat > Nadrágok				Kollekciók	Nadrágok	Sweet Rose			New	No			Rózsaszín			One size		PIN-PT-0000013-OSI	
BLU-TP-000002-SM	Ava kék póló	Minden gardrób alapdarabja ez a póló, mely igazi stílusfegyver. Nagyon kényelmes, hordhatod sportosabb és csinosabb szettekben is. 	https://www.horandrashop.hu/ava-kek-polo-658?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_152122.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_151622.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_152628.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_151543.webp	in_stock	5990 HUF		3556 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Blue Moon	Felsők, kardigánok			New	No			Kék			S/M		BLU-TP-000002-SM	
WHI-TP-0000014-OSI	Teddy póló	Ha van cuki felső, akkor Teddy pólónk biztosan az! Nagyon kényelmes, és jól kombinálható póló!Egyméretes, M-L méretre ajánlom!	https://www.horandrashop.hu/teddy-polo-661?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_154833.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_152618.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_154814.webp	in_stock	7990 HUF		5715 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Blue Moon	Felsők, kardigánok	White Moonlight		New	No			Fehér			One size		WHI-TP-0000014-OSI	
BLU-TP-0000015-OSI	Zora kék felső	Rövid ujjú, nagyon csinos, bordázott anyagból készült, fodros, rövid ujjú blúz. A nyakkivágását dekoratív kötő teszi különlegessé. 	https://www.horandrashop.hu/zora-kek-felso-664?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_1731011.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_173153.webp	in_stock	5900 HUF		2794 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Blue Moon	Felsők, kardigánok			New	No			Kék			One size		BLU-TP-0000015-OSI	
PIN-TP-0000016-OSI	Zora rózsaszín felső	Rövid ujjú, bordázott anyagból készült, fodros, rövid ujjú felső. A nyakkivágását dekoratív megkötő teszi különlegessé.	https://www.horandrashop.hu/zora-rozsaszin-felso-667?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_173626.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_173816.webp	in_stock	5900 HUF		2794 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Felsők, kardigánok	Sweet Rose			New	No			Rózsaszín			One size		PIN-TP-0000016-OSI	
BLU-TP-0000017-OSI	Iris kék felső	Ez az ujjatlan , bordázott anyagból készült felső nagyszerű alapdarab minden gardróbba. 	https://www.horandrashop.hu/iris-kek-felso-670?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170505.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170559.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170448.webp	in_stock	6990 HUF		2286 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Blue Moon	Felsők, kardigánok			New	No			Kék			One size		BLU-TP-0000017-OSI	
PIN-TP-0000018-OSI	Iris fukszia felső	Ez az ujjatlan, bordázott anyagból készült garbónyakú felső minden gardrób alapdarabja!	https://www.horandrashop.hu/iris-fukszia-felso-673?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_172309.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_172554.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_150732.webp	in_stock	6990 HUF		2286 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Felsők, kardigánok	Sweet Rose			New	No			Rózsaszín			One size		PIN-TP-0000018-OSI	
GRE-TP-0000019-OSI	 Iris zöld felső	Ez a bordázott anyagú, zöld , garbónyakú felső minden gardrób alapdarabja!	https://www.horandrashop.hu/iris-zold-felso-676?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170107.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170128.webp	in_stock	6990 HUF	4990 HUF	2286 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Felsők, kardigánok	Forest Kiss			New	No			Zöld			One size		GRE-TP-0000019-OSI	
BLU-TP-0000020-OSI	Viva felső	Ez az a felső, ami első látásra szerelem. Elegáns, ugyanakkor a virágok miatt romantikus benyomást is kelt,  ideális választás a mindennapokra, a munkába és ünnepi alkalmakra is.  	https://www.horandrashop.hu/viva-felso-679?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_1218191.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_121925.webp	in_stock	9990 HUF		6350 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Blue Moon	Felsők, kardigánok			New	No			Kék			One size		BLU-TP-0000020-OSI	
BLU-PT-0000021-OSI	Daisy kék virágos culotte nadrág	Ez a kék alapon virágmintás culotte szoknyanadrág a nyári gardrób egyik legkényelmesebb és legsikkesebb darabja. Ráadásul ajándék öv is jár hozzá. 	https://www.horandrashop.hu/daisy-kek-viragos-culotte-nadrag-682?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_145557.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_145916.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_1510351.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_151134.webp	in_stock	11990 HUF		7239 HUF				No	Ruházat > Nadrágok				Kollekciók	Blue Moon	Nadrágok			New	No			Kék			One size		BLU-PT-0000021-OSI	
PIN-PT-0000022-OSI	Daisy rózsaszín virágos culotte nadrág	Ez a rózsaszín alapon virágmintás culotte szoknyanadrág a nyári gardrób egyik legkényelmesebb és legsikkesebb darabja lehet. Ráadásul ajándék öv is jár hozzá!	https://www.horandrashop.hu/daisy-rozsaszin-viragos-culotte-nadrag-685?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_155830.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_155600.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_155901.webp	in_stock	11990 HUF		7239 HUF				No	Ruházat > Nadrágok				Kollekciók	Nadrágok	Sweet Rose			New	No			Rózsaszín			One size		PIN-PT-0000022-OSI	
BLU-SK-0000023-L/XL	Sway rövid szoknya	Ez a királykék, rövid plisszírozott szoknya igazi statement darab, amely eleganciát és energiát sugároz. 	https://www.horandrashop.hu/sway-rovid-szoknya-688?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_152122.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_151622.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_152053.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_153245.webp	in_stock	10990 HUF		7112 HUF				No	Ruházat > Szoknyák				Kollekciók	Blue Moon	Szoknyák			New	No			Kék			L/XL		BLU-SK-0000023-L/XL	
BLU-DR-0000024-OSI	Iza Alkalmi ruha	Ez a ruha egyszerűen nagyszerű. Kényelmes, és nagyon csinos. Legyen szó esküvőről vagy más alkalomról, ahol számít, hogy csinos is legyél, de kényelmes is legyen a ruha, akár egy egész napon át. Kitűnően kombinálható akár fehér, akár sötétkék, vagy bézs kiegészítőkkel is!	https://www.horandrashop.hu/iza-alkalmi-ruha-691?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_165121.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_165001.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_165035.webp	in_stock	12990 HUF		9398 HUF				No	Ruházat > Ruhák				Kollekciók	Blue Moon	Ruhák			New	No			Kék			One size		BLU-DR-0000024-OSI	
PIN-DR-0000025-OSI	Nola ruha	Ez a ruha is azt kell mondanom, hogy alapdarab. A színe miatt elég feltűnő és kitűnően kombinálhatod Zyra cipőnkkel, de Frost edzőcipőnkkel is.  A zöld és a fehér is kimondottan jól mennek hozzá.	https://www.horandrashop.hu/nola-ruha-694?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_164052.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_164303.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_163837.webp	in_stock	6990 HUF		3175 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Sweet Rose			New	No			Rózsaszín			One size		PIN-DR-0000025-OSI	
PIN-PT-0000026-OSI	Aria virágos nadrág	Ez az elegáns női rövidnadrág kiváló választás sokféle alkalomra, tökélete mindennapi viseletre, munkába, találkozókra vagy bulikra is. Nagyon kényelmes és sokféleképpen kombinálható darab, 	https://www.horandrashop.hu/aria-viragos-nadrag-697?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_150641.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_150851.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_151350.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_1513041.webp	in_stock	8990 HUF		5588 HUF				No	Ruházat > Nadrágok				Kollekciók	Nadrágok	Sweet Rose			New	No			Rózsaszín			One size		PIN-PT-0000026-OSI	
PIN-TP-0000027-OSI	Adriana virágos blúz	Nem tudom, ti hogy vagytok vele, de én nagyon szeretem az ilyen spanyol típusú felsőket. Klasszikus, mégis nőies, és a virágminta nagyon feldobja. Ideális mindennapi viseletre, munkába, valamint ünnepi alkalmakra is. 	https://www.horandrashop.hu/adriana-viragos-bluz-700?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_154053.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250722_114053.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250722_114259.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250722_114347.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_154036.webp	in_stock	8990 HUF		5588 HUF				No	Ruházat > Felsők, kardigánok				Kollekciók	Felsők, kardigánok	Sweet Rose			New	No			Rózsaszín			One size		PIN-TP-0000027-OSI	
PIN-DR-0000028-38	Aurora virágos koktél ruha	Gyönyörű koktélruha festett virágokkal. A szoknyarész formáját tüll és selyem bélés teszi tökéletessé. Az öv levehető, ha anélkül szeretnéd hordani! Csapj le rá, mert nem sok érkezett belőle!	https://www.horandrashop.hu/aurora-viragos-koktel-ruha-703?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_111610.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_121614.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250606_143424.webp	in_stock	16990 HUF		8382 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Sweet Rose			New	No			Rózsaszín			38		PIN-DR-0000028-38	
TAR-SK-0000029-OSI	Sora szoknya	Ez a stílusos, bővülő szabású mini szoknya ideális választás a mindennapokra , de akár rendezvényekre is. Viseld egyszínű pólóval, és sportcipővel vagy egy csipkés toppal és magas sarkúval. 	https://www.horandrashop.hu/sora-szoknya-706?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_123033.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_123036.webp	in_stock	9990 HUF		5588 HUF				No	Ruházat > Szoknyák				Kollekciók	Szoknyák	Urban Jungle			New	No			Tarka			One size		TAR-SK-0000029-OSI	
TAR-SK-0000030-M	Elara szoknya	Ceruzaszoknya elöl díszes kötéssel. Tökéletes akár munkába, de a tengerpartra és egy rendezvényre is. Ha Te is imádod a különleges szabásvonalakat ez a szoknya máris a tied!	https://www.horandrashop.hu/elara-szoknya-709?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170505.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170036.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170107.webp,https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_170449.webp	in_stock	8990 HUF	8450 HUF	2794 HUF				No	Ruházat > Szoknyák				Kollekciók	Blue Moon	Szoknyák	Forest Kiss		New	No			Tarka			M		TAR-SK-0000030-M	
GRE-DR-0000031-OSI	Elva egyberuha	A Elva egy üde, természetes hatású egybe ruha, amely tökéletes választás a nyári napokra. Aszimmetrikus a vállak szabása, így kényelmesen lehúzhatod a ruha egyik ujját, hogy szabadon hagy a vállat, de ha nem szereted ezt a fajta megoldást, a ruha úgy is hordható. Intenzív színének hála nagyon sokféleképpen kombinálható, viseld rózsaszínnel és ragyogj!	https://www.horandrashop.hu/elva-egyberuha-712?utm_source=google_shopping&utm_medium=cpp&utm_campaign=direct_link	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_163400.webp	https://www.horandrashop.hu/custom/horandrashop/image/cache/w800h1200m00q100/product/20250601_163424.webp	in_stock	8990 HUF		5715 HUF				No	Ruházat > Ruhák				Kollekciók	Ruhák	Forest Kiss			New	No			Zöld			One size		GRE-DR-0000031-OSI	
